islet_id,imageid,donor_status
6356_Islet_929,6356,ND
6356_Islet_650,6356,ND
6505_Islet_382,6505,Aab+
6356_Islet_321,6356,ND
6549_Islet_367,6549,Aab+
6356_Islet_7,6356,ND
6516_Islet_35,6516,ND
6550_Islet_99,6550,T1D
6550_Islet_103,6550,T1D
6548_Islet_69,6548,ND
6450_Islet_389,6450,Aab+
6356_Islet_520,6356,ND
112_Islet_284,112,ND
6549_Islet_287,6549,Aab+
6521_Islet_61,6521,Aab+
112_Islet_2,112,ND
112_Islet_349,112,ND
6505_Islet_346,6505,Aab+
6505_Islet_386,6505,Aab+
6549_Islet_252,6549,Aab+
6516_Islet_134,6516,ND
6549_Islet_363,6549,Aab+
112_Islet_175,112,ND
6516_Islet_100,6516,ND
112_Islet_481,112,ND
6356_Islet_6,6356,ND
6356_Islet_148,6356,ND
6549_Islet_144,6549,Aab+
6516_Islet_188,6516,ND
112_Islet_558,112,ND
6549_Islet_132,6549,Aab+
6551_Islet_120,6551,T1D
6356_Islet_845,6356,ND
112_Islet_83,112,ND
6356_Islet_225,6356,ND
6450_Islet_298,6450,Aab+
6505_Islet_156,6505,Aab+
6356_Islet_432,6356,ND
6538_Islet_198,6538,Aab+
112_Islet_396,112,ND
6356_Islet_661,6356,ND
6549_Islet_256,6549,Aab+
6534_Islet_2,6534,T1D
6534_Islet_175,6534,T1D
