islet_id,imageid,donor_status
6551_Islet_137,6551,T1D
112_Islet_591,112,ND
6516_Islet_164,6516,ND
6534_Islet_66,6534,T1D
6505_Islet_154,6505,Aab+
112_Islet_167,112,ND
6450_Islet_330,6450,Aab+
6516_Islet_302,6516,ND
6356_Islet_378,6356,ND
112_Islet_253,112,ND
112_Islet_387,112,ND
112_Islet_536,112,ND
6505_Islet_66,6505,Aab+
6549_Islet_104,6549,Aab+
6450_Islet_339,6450,Aab+
112_Islet_39,112,ND
6516_Islet_177,6516,ND
6516_Islet_102,6516,ND
6505_Islet_372,6505,Aab+
6534_Islet_141,6534,T1D
6534_Islet_264,6534,T1D
112_Islet_531,112,ND
6356_Islet_393,6356,ND
6356_Islet_601,6356,ND
6538_Islet_218,6538,Aab+
6534_Islet_118,6534,T1D
112_Islet_153,112,ND
6538_Islet_145,6538,Aab+
112_Islet_408,112,ND
6516_Islet_69,6516,ND
6505_Islet_231,6505,Aab+
6450_Islet_201,6450,Aab+
6479_Islet_219,6479,ND
112_Islet_500,112,ND
6534_Islet_237,6534,T1D
6479_Islet_130,6479,ND
6356_Islet_820,6356,ND
6549_Islet_394,6549,Aab+
6549_Islet_127,6549,Aab+
6356_Islet_171,6356,ND
6534_Islet_96,6534,T1D
112_Islet_437,112,ND
6356_Islet_131,6356,ND
6563_Islet_120,6563,T1D
6549_Islet_26,6549,Aab+
6356_Islet_418,6356,ND
6516_Islet_28,6516,ND
6534_Islet_114,6534,T1D
6356_Islet_972,6356,ND
6551_Islet_50,6551,T1D
6551_Islet_141,6551,T1D
112_Islet_602,112,ND
6551_Islet_181,6551,T1D
6521_Islet_35,6521,Aab+
6551_Islet_355,6551,T1D
6516_Islet_228,6516,ND
112_Islet_25,112,ND
6551_Islet_11,6551,T1D
6534_Islet_86,6534,T1D
112_Islet_306,112,ND
6356_Islet_68,6356,ND
6563_Islet_47,6563,T1D
6450_Islet_102,6450,Aab+
6549_Islet_125,6549,Aab+
6538_Islet_197,6538,Aab+
6534_Islet_207,6534,T1D
6551_Islet_142,6551,T1D
6450_Islet_124,6450,Aab+
6505_Islet_68,6505,Aab+
6549_Islet_210,6549,Aab+
6534_Islet_79,6534,T1D
6356_Islet_164,6356,ND
6549_Islet_67,6549,Aab+
6356_Islet_247,6356,ND
112_Islet_331,112,ND
6356_Islet_557,6356,ND
112_Islet_503,112,ND
6505_Islet_7,6505,Aab+
6356_Islet_39,6356,ND
112_Islet_622,112,ND
6356_Islet_799,6356,ND
6521_Islet_158,6521,Aab+
112_Islet_18,112,ND
6479_Islet_249,6479,ND
112_Islet_422,112,ND
6534_Islet_139,6534,T1D
6549_Islet_374,6549,Aab+
6356_Islet_986,6356,ND
112_Islet_249,112,ND
6516_Islet_285,6516,ND
6516_Islet_190,6516,ND
6505_Islet_219,6505,Aab+
6356_Islet_241,6356,ND
6505_Islet_300,6505,Aab+
6538_Islet_187,6538,Aab+
6505_Islet_256,6505,Aab+
6516_Islet_86,6516,ND
6450_Islet_71,6450,Aab+
6505_Islet_113,6505,Aab+
6538_Islet_215,6538,Aab+
6538_Islet_193,6538,Aab+
6356_Islet_588,6356,ND
6356_Islet_615,6356,ND
112_Islet_125,112,ND
6356_Islet_405,6356,ND
6538_Islet_153,6538,Aab+
6505_Islet_388,6505,Aab+
112_Islet_467,112,ND
6549_Islet_231,6549,Aab+
6563_Islet_89,6563,T1D
112_Islet_459,112,ND
6356_Islet_260,6356,ND
6516_Islet_109,6516,ND
112_Islet_262,112,ND
6505_Islet_312,6505,Aab+
6450_Islet_357,6450,Aab+
6563_Islet_61,6563,T1D
6534_Islet_102,6534,T1D
6516_Islet_77,6516,ND
6551_Islet_143,6551,T1D
112_Islet_316,112,ND
112_Islet_71,112,ND
112_Islet_555,112,ND
6516_Islet_283,6516,ND
112_Islet_234,112,ND
6356_Islet_173,6356,ND
6551_Islet_334,6551,T1D
6548_Islet_86,6548,ND
112_Islet_97,112,ND
112_Islet_559,112,ND
6551_Islet_81,6551,T1D
112_Islet_196,112,ND
6356_Islet_613,6356,ND
6450_Islet_21,6450,Aab+
6505_Islet_198,6505,Aab+
6356_Islet_44,6356,ND
6534_Islet_267,6534,T1D
6505_Islet_174,6505,Aab+
112_Islet_311,112,ND
6505_Islet_209,6505,Aab+
6534_Islet_278,6534,T1D
6505_Islet_357,6505,Aab+
112_Islet_385,112,ND
6356_Islet_609,6356,ND
6356_Islet_340,6356,ND
6516_Islet_233,6516,ND
6356_Islet_200,6356,ND
112_Islet_281,112,ND
6356_Islet_4,6356,ND
6479_Islet_60,6479,ND
6550_Islet_139,6550,T1D
112_Islet_378,112,ND
112_Islet_90,112,ND
6521_Islet_168,6521,Aab+
6450_Islet_353,6450,Aab+
6548_Islet_47,6548,ND
112_Islet_480,112,ND
6548_Islet_120,6548,ND
6505_Islet_294,6505,Aab+
112_Islet_148,112,ND
6548_Islet_58,6548,ND
6534_Islet_83,6534,T1D
112_Islet_260,112,ND
6479_Islet_251,6479,ND
6479_Islet_180,6479,ND
6534_Islet_199,6534,T1D
6549_Islet_56,6549,Aab+
6534_Islet_188,6534,T1D
112_Islet_357,112,ND
6549_Islet_124,6549,Aab+
112_Islet_212,112,ND
6356_Islet_113,6356,ND
6549_Islet_21,6549,Aab+
6549_Islet_130,6549,Aab+
6356_Islet_118,6356,ND
6549_Islet_350,6549,Aab+
6356_Islet_677,6356,ND
6505_Islet_175,6505,Aab+
6549_Islet_162,6549,Aab+
6505_Islet_202,6505,Aab+
6534_Islet_187,6534,T1D
6505_Islet_396,6505,Aab+
112_Islet_210,112,ND
112_Islet_326,112,ND
6356_Islet_728,6356,ND
6479_Islet_72,6479,ND
6548_Islet_117,6548,ND
6521_Islet_203,6521,Aab+
6356_Islet_705,6356,ND
6516_Islet_218,6516,ND
6563_Islet_85,6563,T1D
6450_Islet_193,6450,Aab+
6551_Islet_96,6551,T1D
6505_Islet_197,6505,Aab+
112_Islet_169,112,ND
6516_Islet_258,6516,ND
6550_Islet_124,6550,T1D
6356_Islet_20,6356,ND
6505_Islet_368,6505,Aab+
6479_Islet_212,6479,ND
6505_Islet_239,6505,Aab+
6450_Islet_253,6450,Aab+
6450_Islet_184,6450,Aab+
6356_Islet_836,6356,ND
6548_Islet_63,6548,ND
6534_Islet_130,6534,T1D
6549_Islet_178,6549,Aab+
6549_Islet_74,6549,Aab+
112_Islet_587,112,ND
6551_Islet_17,6551,T1D
6505_Islet_299,6505,Aab+
6534_Islet_222,6534,T1D
6549_Islet_76,6549,Aab+
6534_Islet_254,6534,T1D
6534_Islet_250,6534,T1D
112_Islet_27,112,ND
6516_Islet_59,6516,ND
112_Islet_166,112,ND
6550_Islet_79,6550,T1D
6563_Islet_149,6563,T1D
6356_Islet_430,6356,ND
6521_Islet_133,6521,Aab+
6551_Islet_377,6551,T1D
6551_Islet_328,6551,T1D
112_Islet_137,112,ND
6356_Islet_685,6356,ND
6479_Islet_5,6479,ND
6563_Islet_40,6563,T1D
6505_Islet_184,6505,Aab+
6563_Islet_18,6563,T1D
112_Islet_268,112,ND
6521_Islet_50,6521,Aab+
6538_Islet_107,6538,Aab+
6549_Islet_110,6549,Aab+
6479_Islet_2,6479,ND
6356_Islet_374,6356,ND
6450_Islet_347,6450,Aab+
6505_Islet_234,6505,Aab+
112_Islet_199,112,ND
6549_Islet_17,6549,Aab+
6534_Islet_54,6534,T1D
112_Islet_525,112,ND
6356_Islet_251,6356,ND
6356_Islet_471,6356,ND
6356_Islet_649,6356,ND
6450_Islet_226,6450,Aab+
6534_Islet_145,6534,T1D
6521_Islet_136,6521,Aab+
6516_Islet_42,6516,ND
6551_Islet_359,6551,T1D
6505_Islet_89,6505,Aab+
6549_Islet_391,6549,Aab+
6516_Islet_117,6516,ND
112_Islet_244,112,ND
6356_Islet_668,6356,ND
112_Islet_161,112,ND
112_Islet_70,112,ND
6549_Islet_220,6549,Aab+
6551_Islet_95,6551,T1D
6356_Islet_598,6356,ND
6563_Islet_51,6563,T1D
112_Islet_444,112,ND
6538_Islet_18,6538,Aab+
6356_Islet_769,6356,ND
6538_Islet_147,6538,Aab+
6356_Islet_921,6356,ND
6356_Islet_14,6356,ND
112_Islet_4,112,ND
6534_Islet_47,6534,T1D
6356_Islet_130,6356,ND
6551_Islet_304,6551,T1D
6516_Islet_143,6516,ND
6534_Islet_30,6534,T1D
